SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,Pool,PoolElev,VertDatum
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4756_rm,1,475.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4744_rm,1,474.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4731_rm,1,473.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4719_rm,1,471.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4717_rm,1,471.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4715_rm,1,471.500000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4706_rm,1,470.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4698_rm,1,469.799987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4697_rm,1,469.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4687_rm,1,468.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4673_rm,1,467.299987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4659_rm,1,465.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4654_rm,1,465.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4641_rm,1,464.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4634_rm,1,463.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4629_rm,1,462.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4617_rm,1,461.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4584_rm,1,458.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4564_rm,1,456.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4555_rm,1,455.500000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4551_rm,1,455.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
